  -2.9284091e+00  -1.1655405e-01
  -1.9420455e+00  -5.2195946e-01
  -1.3056818e+00  -1.2820946e+00
   7.8409091e-02  -1.9577703e+00
   5.3977273e-01  -1.8902027e+00
   9.5340909e-01  -1.3834459e+00
   8.2613636e-01  -2.1790541e-01
   1.7965909e+00  -1.2652027e+00
   2.3693182e+00  -3.0236486e-01
   1.7170455e+00   7.7871622e-01
   3.4193182e+00  -9.9493243e-01
   2.1943182e+00   2.8885135e-01
  -5.1022727e-01   7.1114865e-01
  -8.7613636e-01   1.5557432e+00
  -1.5602273e+00   2.7550676e+00
   1.4204545e-01   1.6570946e+00
   1.5261364e+00   1.3361486e+00
   1.6693182e+00   2.2483108e+00
   2.6079545e+00   1.1672297e+00
   3.5306818e+00   1.3361486e+00
